Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
AGF,DB Agriculture Long ETN,2008-04-14,ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture,"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Agricultural Commodities,Invesco PowerShares,0.75%,,,$3.90 ,0.2," 	3,536 ", 	(6.18),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGG,Core Total U.S. Bond Market ETF,2003-09-22,ETF,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,iShares,0.08%,$0.19,2.34%,"$15,196.40 ",143.2," 	1,240,811 ", 	(0.33),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGQ,Ultra Silver,2008-12-01,Commodity Pool,Silver bullion (200%),"ProShares Ultra Silver seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of silver bullion as measured by the U.S. Dollar fixing price for delivery in London.",Leveraged Commodities,ProShares,0.95%,,,$486.00 ,29.4," 	1,551,803 ", 	(5.66),Commodity,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
AGZ,iShares Agency Bond ETF,2008-11-05,ETF,Barclays Capital U.S. Agency Bond Index,The index measures the performance of the agency sector of the U.S. government bond market.,Government Bonds,iShares,0.20%,$0.12,1.18%,$398.40 ,3.6," 	27,789 ", 	(0.27),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AGZD,Barclays U.S. Aggregate Bond Zero Duration Fund,2013-12-18,ETF,"Barclays Rate Hedged U.S. Aggregate Bond Index, Zero Duration","The Index is comprised of a long portfolio and short portfolio. The &quot;long portfolio&quot; of the Index intends to replicate the Barclays U.S. Aggregate Bond Index, which broadly captures the U.S. investment grade, fixed income securities market and is comprised of U.S. Treasuries and U.S. Government related bonds, corporate bonds, mortgage-backed passthrough securities, commercial mortgage-backed securities and asset-backed securities that are publicly offered for sale in the United States. The &quot;short portfolio&quot; of the Index holds short positions in U.S. Treasuries that seek to correspond to a duration exposure matching the duration of the long portfolio, with a targeted total duration exposure of approximately zero years.",Total Bond Market,WisdomTree,0.23%,,,$10.00 ,0.2,, 	-   ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AIA,iShares Asia 50 ETF,2007-11-13,ETF,S&P Asia 50 Index,"The index measures the performance of 50 leading companies from four Asian countries: Hong Kong, South Korea, Singapore, and Taiwan.",Emerging Markets Equities,iShares,0.50%,$0.47,2.09%,$265.00 ,5.6," 	24,422 ", 	1.58 ,Equity,,,Broad Asia,6.01%,8.32%,9.18%,1.65%,6.87%,29.95%,0.00%,4.67%,4.18%,23.87%,3.81%,,,click,click,,,,,,,,,,,,,
ALT,Diversified Alternatives Trust,2009-10-06,Commodity Pool,,This ETF is not linked to a specific benchmark.,Hedge Fund,iShares,1.02%,,,$42.60 ,0.8," 	23,189 ", 	0.52 ,Alternatives,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ALTL,US Large Cap Alternator ETN,2012-09-06,ETN,RBS US Large Cap Alternator Index,"This index utilizes a systematic relative strength strategy to provide exposure to either the S&amp;P 500 Total Return Index, the S&amp;P 500 Low Volatility Total Return Index or the S&amp;P 500 Equal Weight Total Return Index, depending on the relative performance of the three Underlying Indices based on their average historical returns.",Large Cap Blend Equities,RBS,1.00%,,,$0.00 ,0," 	12,518 ", 	1.00 ,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AMJ,Alerian MLP Index ETN,2009-04-02,ETN,Alerian MLP Index,"The Alerian MLP Index is a market-cap weighted, float-adjusted index created to provide a comprehensive benchmark for investors to track the performance of the energy MLP sector. The majority of MLPs currently operate in the energy infrastructure industry, owning assets such as pipelines that transport crude oil, natural gas and other refined petroleum products.",MLPs,JP Morgan,0.85%,$0.58,3.53%,"$5,848.10 ",126.5," 	584,325 ", 	1.17 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AMLP,Alerian MLP ETF,2010-08-25,ETF,Alerian MLP Infrastructure Index,The index is designed to give investors exposure to the infrastructure component of the Master Limited Partnership asset class. Constituents each earn at least 50% of EBITDA from assets that are not directly exposed to changes in commodity prices. The index is disseminated by the New York Stock Exchange and is a composite of 25 energy infrastructure MLPs.,MLPs,ALPS,0.85%,$0.27,6.06%,"$7,481.70 ",424.6," 	2,846,572 ", 	0.84 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,98.14%,0.00%,0.00%,0.00%,0.00%,0.00%,1.82%,,,click,click,,,,,,,,,,,,,
AMPS,iShares Utilities Bond ETF,2012-02-16,ETF,Barclays Capital U.S. Utility Bond Index,The index measures the performance of U.S. dollar-denominated publicly-issued investment grade corporate bonds in the utility sector.,Corporate Bonds,iShares,0.30%,$0.14,3.12%,$9.60 ,0.2," 	4,654 ", 	(1.19),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ANGL,Market Vectors Fallen Angel ETF,2012-04-11,ETF,BofA Merrill Lynch US Fallen Angel High Yield Index,"The index is comprised of below investment grade corporate debt instruments denominated in U.S. dollars that were rated investment grade at the time of issuance. Qualifying securities must be issued in the U.S. domestic market and have a below investment grade rating (based on an average of Moody’s, Standard &amp; Poor’s Rating Services, or Fitch International Rating Agency.",High Yield Bonds,Van Eck,0.40%,$0.13,6.37%,$16.10 ,0.6," 	2,841 ", 	0.84 ,Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AOA,iShares Aggressive Allocation ETF,2008-11-04,ETF,S&P Target Risk Aggressive Index,The Index is designed to measure the performance of S&amp;P's proprietary aggressive target risk allocation model.,Diversified Portfolio,iShares,0.32%,$0.14,1.96%,$219.70 ,5," 	26,906 ", 	0.89 ,Multi-Asset,,,Global,4.24%,3.08%,9.95%,7.49%,6.65%,13.46%,8.75%,9.88%,3.52%,10.26%,3.00%,,,click,click,,,,,,,,,,,,,
AOK,iShares Conservative Allocation ETF,2008-11-04,ETF,S&P Target Risk Conservative Index,The Index is designed to measure the performance of S&amp;P's proprietary conservative target risk allocation model.,Diversified Portfolio,iShares,0.30%,$0.03,1.78%,$137.40 ,4.3," 	27,097 ", 	0.41 ,Multi-Asset,,,Global,1.60%,1.25%,3.42%,2.93%,2.49%,5.08%,3.21%,3.25%,1.00%,3.49%,1.03%,,,click,click,,,,,,,,,,,,,
AOM,iShares Moderate Allocation ETF,2008-11-04,ETF,S&P Target Risk Moderate Index,The Index is designed to measure the performance of S&amp;P's proprietary moderate target risk allocation model.,Diversified Portfolio,iShares,0.32%,$0.13,2.13%,$213.90 ,6.3," 	36,739 ", 	0.54 ,Multi-Asset,,,Global,2.25%,1.76%,5.13%,4.16%,3.67%,7.30%,4.70%,4.93%,1.59%,5.48%,1.53%,,,click,click,,,,,,,,,,,,,
AOR,iShares Growth Allocation ETF,2008-11-04,ETF,S&P Target Risk Growth Index,The Index is designed to measure the performance of S&amp;P's proprietary growth target risk allocation model.,Diversified Portfolio,iShares,0.31%,$0.14,2.05%,$249.50 ,6.5," 	39,622 ", 	0.66 ,Multi-Asset,,,Global,3.02%,2.37%,7.24%,5.72%,5.14%,10.00%,6.62%,6.99%,2.30%,7.83%,2.15%,,,click,click,,,,,,,,,,,,,
ARGT,FTSE Argentina 20 ETF,2011-03-03,ETF,FTSE Argentina 20 Index,"The index is designed to measure performance of the top 20 companies within the investable universe of Argentina-domiciled companies or companies that have substantial revenues or assets in Argentina, as defined by FTSE.",Latin America Equities,Global X,0.75%,$0.09,0.45%,$7.40 ,0.4," 	7,366 ", 	(2.47),Equity,,,Latin America,35.96%,5.00%,12.01%,2.59%,9.00%,10.52%,0.00%,0.00%,2.14%,20.15%,2.68%,,,click,click,,,,,,,,,,,,,
ASEA,FTSE ASEAN 40 ETF,2011-02-17,ETF,FTSE/ASEAN 40 Index,"The index tracks the performance of the 40 largest companies in the five ASEAN regions: Indonesia, Philippines, Singapore, Malaysia and Thailand.",Emerging Markets Equities,Global X,0.65%,$0.38,2.44%,$36.80 ,2.4," 	23,172 ", 	(1.46),Equity,Large-Cap,Blend,Emerging Asia Pacific,1.71%,18.63%,10.71%,6.72%,4.71%,40.79%,0.00%,10.36%,1.85%,0.00%,4.28%,,,click,click,,,,,,,,,,,,,
ASHR,Harvest CSI 300 China A-Shares Fund,2013-11-06,ETF,CSI 300 Index,The index consists of 300 A-Share stocks listed on the Shenzen or Shanghai Stock Exchange.,China Equities,Deutsche Asset &amp; Wealth Management,1.08%,,,$216.20 ,9,, 	(2.48),Equity,,,Emerging Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ASO,AirShares EU Carbon Allowances,2008-12-15,,,This ETF is not linked to a specific benchmark.,Commodities,Deutsche Asset &amp; Wealth Management,0.85%,,,$0.00 ,0,,,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ATMP,Barclays ETN+ Select MLP ETN,2013-03-12,ETN,Atlantic Trust Select MLP Index,"The Index is designed to provide exposure to a basket of midstream U.S. and Canadian master limited partnerships, limited liability companies and corporations (collectively,",MLPs,Barclays iPath,0.95%,$0.27,1.94%,$183.80 ,6.7," 	38,000 ", 	1.23 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AUD,Australia Bond Index Fund,2011-11-01,ETF,BofA Merrill Lynch Diversified Australia Bond Index,"The index tracks the performance of large, Australian dollar-denominated investment grade debt instruments publicly issued in the Australian domestic market, including sovereign, quasi-government, corporate, securitized and collateralized securities.",International Government Bonds,PIMCO,0.45%,$0.25,1.95%,$25.00 ,0.3," 	3,008 ", 	(1.89),Bond,,,Developed Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AXDI,iShares MSCI ACWI ex U.S. Consumer Discretionary ETF,2010-07-13,ETF,MSCI All Country World ex USA Consumer Discretionary Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the consumer discretionary sector of developed and emerging markets countries, excluding the U.S.",Consumer Discretionary Equities,iShares,0.48%,$0.64,1.82%,$4.20 ,0.1, 	643 , 	1.69 ,Equity,,,Global ex-U.S.,0.29%,3.31%,86.62%,0.48%,0.00%,0.00%,0.00%,2.06%,0.00%,4.78%,0.00%,,,click,click,,,,,,,,,,,,,
AXEN,iShares MSCI ACWI ex U.S. Energy ETF,2010-07-13,ETF,MSCI All Country World ex USA Energy Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the energy sector of developed and emerging markets countries, excluding the U.S.",Energy Equities,iShares,0.48%,$0.79,3.16%,$5.40 ,0.1," 	3,046 ", 	1.44 ,Equity,,,Global ex-U.S.,2.88%,0.00%,0.00%,0.00%,94.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXFN,MSCI ACWI ex US Financials Sector Index Fund,2010-01-20,ETF,MSCI All Country World ex USA Financials Index,"The index is a free float-adjusted, market capitalization-weighted index designed to measure the combined equity market performance of the financials sector of developed and emerging markets countries, excluding the United States. Component securities include those of banks, diversified financial companies, insurance companies, and real estate companies.",Financials Equities,iShares,0.48%,$0.25,2.67%,$5.10 ,0.2," 	2,815 ", 	1.72 ,Equity,,,Global ex-U.S.,0.00%,0.00%,0.84%,0.00%,0.00%,85.33%,0.00%,0.50%,10.77%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXHE,iShares MSCI ACWI ex U.S. Healthcare ETF,2010-07-13,ETF,MSCI All Country World ex USA Health Care Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the health care sector of developed and emerging markets countries, excluding the U.S.",Health &amp; Biotech Equities,iShares,0.48%,$0.31,1.92%,$12.10 ,0.2, 	593 , 	1.86 ,Equity,,,Global ex-U.S.,0.57%,0.00%,0.00%,0.15%,0.00%,0.00%,97.95%,0.00%,0.00%,0.13%,0.00%,,,click,click,,,,,,,,,,,,,
AXID,iShares MSCI ACWI ex U.S. Industrials ETF,2010-07-13,ETF,MSCI All Country World ex USA Industrials Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the industrials sector of developed and emerging markets countries, excluding the U.S.",Industrials Equities,iShares,0.48%,$0.38,1.93%,$3.30 ,0.1," 	1,533 ", 	2.72 ,Equity,,,Global ex-U.S.,6.52%,0.00%,2.59%,0.45%,1.66%,0.00%,0.00%,76.30%,0.35%,5.98%,0.51%,,,click,click,,,,,,,,,,,,,
AXIT,iShares MSCI ACWI ex U.S. Information Technology ETF,2010-07-13,ETF,MSCI All Country World ex USA Information Technology Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the information technology sector of developed and emerging markets countries, excluding the U.S.",Technology Equities,iShares,0.48%,$0.47,1.21%,$3.30 ,0.1, 	664 , 	3.25 ,Equity,,,Global ex-U.S.,0.35%,0.58%,1.21%,0.00%,0.00%,0.00%,0.00%,9.14%,0.00%,84.85%,0.25%,,,click,click,,,,,,,,,,,,,
AXMT,iShares MSCI ACWI ex U.S. Materials ETF,2010-07-13,ETF,MSCI All Country World ex USA Materials Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the materials sector of developed and emerging markets countries, excluding the U.S.",Materials,iShares,0.48%,$0.48,2.35%,$2.50 ,0.1," 	1,076 ", 	3.26 ,Equity,,,Global ex-U.S.,95.51%,0.00%,1.20%,0.00%,0.24%,0.05%,0.00%,2.04%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXSL,iShares MSCI ACWI ex U.S. Consumer Staples ETF,2010-07-13,ETF,MSCI All Country World ex USA Consumer Staples Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the consumer staples sector of developed and emerging markets countries, excluding the U.S.",Consumer Staples Equities,iShares,0.48%,$0.56,2.05%,$7.80 ,0.1, 	806 , 	(2.30),Equity,,,Global ex-U.S.,0.00%,0.00%,2.80%,95.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXTE,iShares MSCI ACWI ex U.S. Telecommunication Services ETF,2010-07-13,ETF,MSCI All Country World ex USA Telecommunication Services Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the telecommunications sector of developed and emerging markets countries, excluding the U.S.",Communications Equities,iShares,0.48%,$0.79,3.24%,$3.20 ,0.1," 	2,874 ", 	2.60 ,Equity,,,Global ex-U.S.,0.00%,97.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
AXUT,iShares MSCI ACWI ex U.S. Utilities ETF,2010-07-13,ETF,MSCI All Country World ex USA Utilities Index,"The index is a free-float adjusted market capitalization weighted index designed to measure the combined equity market performance of the utilities sector of developed and emerging markets countries, excluding the U.S.",Utilities Equities,iShares,0.48%,$0.57,3.99%,$6.60 ,0.2," 	1,642 ", 	2.86 ,Equity,,,Global ex-U.S.,0.00%,0.00%,0.00%,0.00%,0.51%,0.00%,0.00%,2.13%,0.00%,0.00%,94.58%,,,click,click,,,,,,,,,,,,,
AZIA,Global X Central Asia & Mongolia Index ETF,2013-04-02,ETF,Solactive Central Asia & Mongolia Index,"The index is designed to reflect the broad based equity performance of Central Asia. The index is comprised of companies that are domiciled in, principally traded in or whose revenues are primarily from Mongolia, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The stocks are screened for liquidity and weighted according to modified free-float market capitalization.",Emerging Markets Equities,Global X,0.69%,,,$2.00 ,0.2," 	5,181 ", 	(1.84),Equity,Multi-Cap,,Emerging Asia Pacific,40.66%,12.25%,0.00%,0.00%,36.73%,12.61%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
BAB,Build America Bond Portfolio,2009-11-17,ETF,BofA Merrill Lynch Build America Bond Index,"The Index is designed to track the performance of U.S. dollar-denominated Build America Bonds publicly issued by U.S. states and territories, and their political subdivisions, in the U.S. market.",National Munis,Invesco PowerShares,0.35%,$0.12,5.15%,$600.40 ,21.9," 	168,958 ", 	(0.65),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BAL,Dow Jones-UBS Cotton Total Return Sub-Index ETN,2008-06-24,ETN,Dow Jones-UBS Cotton Subindex Total Return,The index is a single-commodity sub-index currently consisting of one futures contract on the commodity of cotton.,Agricultural Commodities,Barclays iPath,0.75%,,,$23.30 ,0.4," 	9,805 ", 	1.35 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BBH,Market Vectors Biotech ETF,2011-12-20,ETF,Market Vectors US Listed Biotech 25 Index,"The Index is a rules-based index intended to track the overall performance of 25 of the largest U.S. listed, publicly traded biotech companies.",Health &amp; Biotech Equities,Van Eck,0.35%,$0.00,0.21%,$485.10 ,5.5," 	85,159 ", 	1.98 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.04%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
BCM,Pure Beta Broad Commodity ETN,2011-04-21,ETN,Barclays Capital Commodity Index Pure Beta TR,"The index is comprised of a basket of exchange traded futures contracts. However, unlike many commodity indices which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Commodities,Barclays iPath,0.75%,,,$95.40 ,2.4," 	48,898 ", 	(1.09),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BFOR,Barron's 400 ETF,2013-06-04,ETF,Barron&#x27;s 400,"The index &quot;collects the most fundamentally sound and attractively priced stocks from all corners of the market, using a proven and disciplined stock-selection process.&quot; It does not strive to be a benchmark representing the overall market but rather to give investors access to America's most promising stocks",All Cap Equities,ALPS,0.65%,,,$202.20 ,6.8," 	86,334 ", 	1.32 ,Equity,Multi-Cap,Value,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BIB,Ultra Nasdaq Biotechnology,2010-04-06,ETF,NASDAQ Biotechnology Index (200%),The index contains NASDAQ listed companies classified as either biotechnology or pharmaceuticals companies.,Leveraged Equities,ProShares,0.95%,$0.04,0.16%,$224.10 ,1.5," 	60,595 ", 	3.97 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
BICK,BICK Index Fund,2010-04-12,ETF,ISE BICK Index,"The index is designed to track the largest and most liquid public companies that are domiciled in Brazil, India, Mainland China and South Korea.",Emerging Markets Equities,First Trust,0.64%,$0.10,1.85%,$19.60 ,0.8," 	2,167 ", 	2.10 ,Equity,Large-Cap,Blend,Emerging Markets,11.44%,4.10%,8.40%,4.04%,9.40%,30.20%,2.32%,10.08%,1.75%,14.35%,1.90%,,,click,click,,,,,,,,,,,,,
BIL,SPDR Barclays 1-3 Month T-Bill ETF,2007-05-25,ETF,Barclays Capital U.S. 1-3 Month Treasury Bill Index,"The Barclays Capital 1-3 Month U.S. Treasury Bill Index includes all publicly issued zero-coupon U.S. Treasury Bills that have a remaining maturity of less than 3 months and more than 1 month, are rated investment grade, and have $250 million or more of outstanding face value. In addition, the securities must be denominated in U.S. dollars and must be fixed rate and non convertible.",Money Market,State Street SPDR,0.13%,$0.00,0.34%,"$1,089.30 ",23.8," 	866,997 ", 	0.03 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BIS,UltraShort Nasdaq Biotechnology,2010-04-06,ETF,NASDAQ Biotechnology Index (-200%),The index contains NASDAQ listed companies classified as either biotechnology or pharmaceuticals companies.,Leveraged Equities,ProShares,0.95%,,,$7.80 ,0.4," 	23,011 ", 	(4.25),Equity,,,North America,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
BIV,Intermediate-Term Bond ETF,2007-04-03,ETF,Barclays U.S. 5,"This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 5 and 10 years and are publicly issued.",Total Bond Market,Vanguard,0.11%,$0.21,3.23%,"$3,696.80 ",45.3," 	264,934 ", 	(0.50),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BIZD,Market Vectors BDC Income ETF,2013-02-11,ETF,Market Vectors US Business Development Companies Index,The Index is a rules-based index intended to track the overall performance of publicly traded business development companies.,Financials Equities,Van Eck,0.40%,$0.33,3.77%,$25.00 ,1.2," 	8,831 ", 	1.32 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,0.00%,95.63%,0.00%,4.06%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
BJK,Market Vectors Gaming ETF,2008-01-22,ETF,S-Network Global Gaming Index,The Index provides exposure to publicly traded companies worldwide that derive greater than 50% of revenues from the global gaming industry.,Consumer Discretionary Equities,Van Eck,0.65%,$0.52,0.99%,$81.30 ,1.6," 	29,052 ", 	1.49 ,Equity,,,Global,0.00%,0.00%,94.24%,0.00%,0.00%,2.01%,0.00%,0.80%,0.00%,2.85%,0.00%,,,click,click,,,,,,,,,,,,,
BKF,MSCI BRIC Index Fund,2007-11-12,ETF,MSCI BRIC Index,"The index measures the combined equity market performance in Brazil, Russia, India, and China.",Emerging Markets Equities,iShares,0.69%,$0.23,2.48%,$502.10 ,13.4," 	84,120 ", 	(1.95),Equity,,,Emerging Markets,6.41%,7.47%,4.82%,8.96%,16.47%,27.54%,1.82%,4.84%,2.32%,6.69%,2.44%,,,click,click,,,,,,,,,,,,,
